year,man_type,man_nrate
1980,beef_cattle,0
1981,beef_cattle,0
1982,beef_cattle,0
1983,beef_cattle,0
1984,beef_cattle,0
1985,beef_cattle,0
1986,beef_cattle,0
1987,beef_cattle,0
1988,beef_cattle,0
1989,beef_cattle,0
1990,beef_cattle,0
1991,beef_cattle,0
1992,beef_cattle,0
1993,beef_cattle,0
1994,beef_cattle,0
1995,beef_cattle,0
1996,beef_cattle,0
1997,beef_cattle,0
1998,beef_cattle,0
1999,beef_cattle,0
2000,beef_cattle,0
2001,beef_cattle,0
2002,beef_cattle,0
2003,beef_cattle,0
2004,beef_cattle,0
2005,beef_cattle,0
2006,beef_cattle,0
2007,beef_cattle,0
2008,beef_cattle,0
2009,beef_cattle,0
2010,beef_cattle,0
2011,beef_cattle,0
2012,beef_cattle,0
2013,beef_cattle,0
2014,beef_cattle,0
2015,beef_cattle,0
2016,beef_cattle,0
2017,beef_cattle,0
2018,beef_cattle,0
2019,beef_cattle,0
2020,beef_cattle,50
2021,beef_cattle,50
2022,beef_cattle,50
2023,beef_cattle,50
2024,beef_cattle,50
2025,beef_cattle,50
2026,beef_cattle,50
2027,beef_cattle,50
2028,beef_cattle,50
2029,beef_cattle,50
2030,beef_cattle,50
2031,beef_cattle,50
2032,beef_cattle,50
2033,beef_cattle,50
2034,beef_cattle,50
2035,beef_cattle,50
2036,beef_cattle,50
2037,beef_cattle,50
2038,beef_cattle,50
2039,beef_cattle,50
2040,beef_cattle,50
2041,beef_cattle,50
2042,beef_cattle,50
2043,beef_cattle,50
2044,beef_cattle,50
2045,beef_cattle,50
2046,beef_cattle,50
2047,beef_cattle,50
2048,beef_cattle,50
2049,beef_cattle,50
2050,beef_cattle,50
2051,beef_cattle,50
2052,beef_cattle,50
2053,beef_cattle,50
2054,beef_cattle,50
2055,beef_cattle,50
2056,beef_cattle,50
2057,beef_cattle,50
2058,beef_cattle,50
2059,beef_cattle,50
2060,beef_cattle,50
2061,beef_cattle,50
2062,beef_cattle,50
2063,beef_cattle,50
2064,beef_cattle,50
2065,beef_cattle,50
2066,beef_cattle,50
2067,beef_cattle,50
2068,beef_cattle,50
2069,beef_cattle,50
2070,beef_cattle,50
